,Country,Happiness_Difference,Percentage_deaths,Avarage_Happiness
63,Moldova,0.2494999240000002,0.5548951629367734,5.743500025333333
64,Tajikistan,-0.1786998249999998,0.002254225939702916,5.466233275
65,Montenegro,0.0008998599999996415,0.5435324944552282,5.55803338
66,Russia,-0.08700000400000008,,5.494000001333333
67,Kyrgyz Republic,0.2864999080000006,0.0660040426146294,5.704500030666666
68,Greece,0.43300013400000026,0.30139555365160464,5.7286666219999995
69,Croatia,0.6202998160000002,0.479855126887501,5.837233394666666
70,Mongolia,0.3047998769999998,0.06433228034598504,5.631400041
71,Malaysia,0.3266997680000001,0.10938022056356797,5.493100077333334
72,Vietnam,0.13150011100000025,0.0436507278927617,5.416499963
73,Indonesia,-0.04560018499999963,0.06479403839129491,5.290200061666666
74,Cote d'Ivoire,0.0016997910000000616,0.003540792565093813,5.258100069666667
75,Benin,-0.5930000799999995,0.0017074702566105082,4.96133336
76,Ghana,-0.27599976299999973,0.005728456057190588,5.035999920999999
77,Nepal,0.23980012100000003,0.05048253741453079,5.261066626333332
78,Turkey,-0.38780017500000064,0.14064537849345665,4.941266725
79,China,0.46110006299999995,0.001274691737544264,5.349299979
80,Bulgaria,0.2694999660000006,0.6349423818667828,5.246166678
81,Morocco,-0.034799995000000195,0.06343713362447677,5.024266665
82,Cameroon,-0.03689990200000004,0.008946779807204618,5.0916333006666665
83,Venezuela,-0.128199768,,4.956733256
84,Algeria,0.11690022699999947,0.021949306884217097,5.004699924333333
85,Senegal,0.06519984800000067,0.014130493856579667,5.052933383999999
86,Guinea,-0.05829981199999956,0.0039671685959847686,4.941433270666667
87,Laos,0.25140012699999925,,5.019533291000001
88,Albania,0.3163000340000002,0.16442030566108345,5.0662333219999995
89,Cambodia,-0.20840011599999997,0.018266674426314872,4.7728000386666665
90,Bangladesh,0.32220008899999986,0.022272838316480914,5.004266637000001
91,Gabon,0.12870007300000008,0.01648898697414958,4.879766642333334
92,South Africa,0.3799002109999998,0.21590933807507803,4.988033262999999
93,Iraq,0.15619994700000017,0.09440237968283575,4.859933351
94,Lebanon,-1.8165001109999999,0.17198886167372018,4.103500037
95,Burkina Faso,-0.09870012300000042,0.0022340993599185735,4.757566707666666
96,Mali,-0.25030002200000023,0.00491831595676504,4.643766673999999
97,Nigeria,-0.17210011300000083,0.0021441781582690373,4.6783667043333335
98,Armenia,0.722200226,0.38592969708095953,5.119599924666667
99,Georgia,0.3004002080000001,0.5170955829023756,4.845533264
100,Iran,0.2156000019999995,,4.760466666
101,Jordan,-0.48139996299999943,0.17490694041246127,4.393466654333333
102,Mozambique,0.42439999399999984,0.007566684002318316,4.821866668666667
103,Kenya,-0.04000018300000008,0.013603911380234437,4.577666727666667
104,Namibia,-0.11210023500000066,0.16635732940404171,4.5347000783333336
105,Ukraine,0.5233000599999995,0.28659993171358417,4.839899979999999
106,Uganda,0.17099983999999946,0.00852626746245163,4.557000053333334
107,Tunisia,0.12380000699999982,0.2787381739557028,4.501399997666667
108,Sri Lanka,0.03499985900000002,0.07610292440348555,4.338000047
109,Myanmar,0.08599991200000012,0.040639742175829593,4.376000029333333
110,Togo,-0.07520006900000009,0.004106906645301089,4.135400023
111,Ethiopia,0.05479985799999998,0.008185200699598933,4.234066714
112,Egypt,0.13659991100000024,,4.240800029666667
113,Sierra Leone,-0.35239994600000024,0.0025197490029127546,3.7831333153333335
114,Zambia,0.0006001089999996267,0.023672815578975496,3.864133297
115,India,0.20370011500000018,0.0485409327159493,3.723099961666667
116,Malawi,0.21199989300000022,0.014715141776339778,3.629333369
117,Tanzania,0.22579989599999983,0.0013744217237782977,3.6004000346666665
118,Zimbabwe,-0.3042000579999997,0.03902326910439646,3.1464000193333335
119,Afghanistan,-0.16290001499999995,0.025313177358367262,2.4979666716666666
